Timestamp,Air_Temp,Relative_Humidity,Solar_Radiation,RTD,Array_Voltage,Array_Current,Power_Generated
20:00.0,15.285064,101.66542,0.015045,24.13271691,2.344654,5.401891,12.665566
25:00.0,15.289056,101.3726,0.036285,24.22375868,2.33025,5.401711,12.587336
30:00.0,15.318258,100.65096,0.085846,24.33147518,2.362141,5.401619,12.759384
35:00.0,15.362126,100.35732,0.036285,24.38636784,2.314839,5.401528,12.503664
40:00.0,15.370062,100.05736,0.085846,24.37427022,2.246876,5.401528,12.136562
45:00.0,15.39664,100.31966,0.085846,24.26886012,2.238636,5.401619,12.092258
50:00.0,15.386032,100.78788,0.036285,24.16943356,2.246876,5.401439,12.136364
55:00.0,15.378014,101.6639,0.066376,24.12124937,2.284992,5.401891,12.343278
00:00.0,15.310322,101.95776,0.216827,24.12773342,2.20055,5.402159,11.887722
05:00.0,15.265134,102.70668,0.165497,24.05818457,2.132588,5.401979,11.520192
10:00.0,15.15617,102.99944,0.115936,23.91298506,2.107899,5.401799,11.386446
15:00.0,15.083104,103.73084,0.115936,23.84325092,2.106861,5.401711,11.380654
20:00.0,15.032558,103.73084,0.165497,23.77023406,2.086262,5.402071,11.270134
25:00.0,15.039174,105.31458,0.066376,23.65505116,2.121266,5.401979,11.459032
30:00.0,14.990014,106.10506,0.066376,23.61518718,2.173817,5.401979,11.742912
35:00.0,14.815738,105.95276,0.036285,23.64421054,2.124378,5.401799,11.475466
40:00.0,14.831706,106.53894,0.135407,23.65088672,2.099629,5.401619,11.341394
45:00.0,14.785108,106.68944,0.238068,23.57655191,2.088306,5.401348,11.27967
50:00.0,14.749228,106.9306,0.188507,23.47142932,2.071827,5.401711,11.19141
55:00.0,14.734566,106.98416,0.390289,23.37620486,2.028584,5.401711,10.957822
00:00.0,14.689338,107.12548,0.287628,23.21864529,2.022389,5.401439,10.923808
05:00.0,14.537542,107.27712,0.43985,23.05024424,2.014118,5.401168,10.87859
10:00.0,14.433618,107.42498,0.542511,22.89173626,2.024433,5.401348,10.934668
15:00.0,14.352342,107.71898,0.641632,22.76222432,2.030628,5.401082,10.96759
20:00.0,14.285694,107.56082,0.892975,22.73116324,2.031635,5.401082,10.97303
25:00.0,14.268378,107.41302,0.995636,22.68642985,2.043995,5.40081,11.039228
30:00.0,14.288938,107.5921,0.152885,22.65535048,2.052034,5.403281,11.087718
35:00.0,14.26362,107.5876,0.002434,22.60695467,2.067476,5.402921,11.17041
40:00.0,14.260932,107.5921,0.002434,22.56509319,2.060244,5.402921,11.131334
45:00.0,14.202254,107.4876,0.100227,22.50528905,2.067476,5.402829,11.170222
